# output from running partial_compress_llama.sh

trainable params: 12620800 || all params: 5455160320 || trainable%: 0.2313552537352376
{'loss': 1.1521, 'learning_rate': 1.0000000000000002e-06, 'epoch': 0.0}
{'loss': 1.1159, 'learning_rate': 1e-05, 'epoch': 0.01}
{'loss': 1.0697, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 1.0926, 'learning_rate': 3e-05, 'epoch': 0.04}
{'loss': 1.085, 'learning_rate': 4e-05, 'epoch': 0.05}
{'loss': 1.1098, 'learning_rate': 5e-05, 'epoch': 0.06}
{'loss': 1.0844, 'learning_rate': 6e-05, 'epoch': 0.08}
{'loss': 1.0924, 'learning_rate': 7e-05, 'epoch': 0.09}
{'loss': 1.1003, 'learning_rate': 8e-05, 'epoch': 0.1}
{'loss': 1.107, 'learning_rate': 9e-05, 'epoch': 0.12}
{'loss': 1.107, 'learning_rate': 0.0001, 'epoch': 0.13}
{'eval_yahma/alpaca-cleaned_loss': 1.1359614133834839, 'eval_yahma/alpaca-cleaned_runtime': 75.8985, 'eval_yahma/alpaca-cleaned_samples_per_second': 26.351, 'eval_yahma/alpaca-cleaned_steps_per_second': 3.294, 'epoch': 0.13}
{'loss': 1.1069, 'learning_rate': 9.955177050649932e-05, 'epoch': 0.14}
{'loss': 1.0941, 'learning_rate': 9.91931869116988e-05, 'epoch': 0.15}
{'loss': 1.0876, 'learning_rate': 9.874495741819812e-05, 'epoch': 0.17}
{'loss': 1.0979, 'learning_rate': 9.829672792469746e-05, 'epoch': 0.18}
{'loss': 1.1039, 'learning_rate': 9.784849843119678e-05, 'epoch': 0.19}
{'loss': 1.0992, 'learning_rate': 9.740026893769611e-05, 'epoch': 0.21}
{'loss': 1.1077, 'learning_rate': 9.695203944419543e-05, 'epoch': 0.22}
{'loss': 1.0777, 'learning_rate': 9.650380995069475e-05, 'epoch': 0.23}
{'loss': 1.1088, 'learning_rate': 9.605558045719408e-05, 'epoch': 0.24}
{'loss': 1.1027, 'learning_rate': 9.560735096369342e-05, 'epoch': 0.26}
{'eval_yahma/alpaca-cleaned_loss': 1.1333872079849243, 'eval_yahma/alpaca-cleaned_runtime': 75.8529, 'eval_yahma/alpaca-cleaned_samples_per_second': 26.367, 'eval_yahma/alpaca-cleaned_steps_per_second': 3.296, 'epoch': 0.26}
{'loss': 1.1013, 'learning_rate': 9.515912147019275e-05, 'epoch': 0.27}
{'loss': 1.0864, 'learning_rate': 9.471089197669207e-05, 'epoch': 0.28}
{'loss': 1.0909, 'learning_rate': 9.42626624831914e-05, 'epoch': 0.3}
{'loss': 1.0811, 'learning_rate': 9.381443298969073e-05, 'epoch': 0.31}
{'loss': 1.0977, 'learning_rate': 9.336620349619005e-05, 'epoch': 0.32}
{'loss': 1.1103, 'learning_rate': 9.291797400268938e-05, 'epoch': 0.33}
{'loss': 1.0957, 'learning_rate': 9.24697445091887e-05, 'epoch': 0.35}
{'loss': 1.1085, 'learning_rate': 9.202151501568803e-05, 'epoch': 0.36}
{'loss': 1.1098, 'learning_rate': 9.157328552218737e-05, 'epoch': 0.37}
{'loss': 1.0876, 'learning_rate': 9.11250560286867e-05, 'epoch': 0.39}
{'eval_yahma/alpaca-cleaned_loss': 1.1283692121505737, 'eval_yahma/alpaca-cleaned_runtime': 75.8728, 'eval_yahma/alpaca-cleaned_samples_per_second': 26.36, 'eval_yahma/alpaca-cleaned_steps_per_second': 3.295, 'epoch': 0.39}
{'loss': 1.0866, 'learning_rate': 9.067682653518602e-05, 'epoch': 0.4}
{'loss': 1.085, 'learning_rate': 9.022859704168534e-05, 'epoch': 0.41}
{'loss': 1.0977, 'learning_rate': 8.978036754818467e-05, 'epoch': 0.42}
{'loss': 1.097, 'learning_rate': 8.9332138054684e-05, 'epoch': 0.44}
{'loss': 1.0989, 'learning_rate': 8.888390856118333e-05, 'epoch': 0.45}
{'loss': 1.0681, 'learning_rate': 8.843567906768265e-05, 'epoch': 0.46}
{'loss': 1.0914, 'learning_rate': 8.7987449574182e-05, 'epoch': 0.48}
{'loss': 1.1098, 'learning_rate': 8.753922008068132e-05, 'epoch': 0.49}
{'loss': 1.0943, 'learning_rate': 8.709099058718064e-05, 'epoch': 0.5}
{'loss': 1.084, 'learning_rate': 8.664276109367997e-05, 'epoch': 0.51}
